Translation Key,EN,SG,FR
j93dbkk2,Buscar,,Rechercher
lkd28unq,"Hola, Byron Canga",,"Bonjour, Byron Canga"
7vqczx67,Qué estás buscando ?,,Qu\
kgmnr0lv,Rentar Casa,,Louer une maison
k0tzhz1z,Apartamentos,,Appartements
hsckyeou,Compartido,,Partager
0i20qkys,Loft,,Grenier
hijiqexv,Justo para ti,,Juste pour toi
fnwbshi2,Ver más,,Voir plus
k0ptbqdb,"4,5",,"4,5"
d63755qt,Pear House,,Maison de la poire
x2y44v64,\$1150,,1150 \$
2fzqjpa6,"Cartajena, Colombia ",,"Cartajena, Colombie"
9f7ljl9n,3 habitaciones,,3 chambres
ejl4jn3s,Wifi,,Wifi
srxd3j5b,Garage,,Garage
la6hdakb,"4,7",,"4,7"
zueybegm,Doral,,Doral
b04zv1xu,\$850,,850 \$
ff4neb1s,"Quito, Ecuador",,"Quito, Équateur"
6dt9a4hf,4 habitaciones,,4 chambres
9om1yd4d,Wifi,,Wifi
w55lblo7,Garage,,Garage
66s790kf,"4,5",,"4,5"
cokoxv3x,Venecia,,Venise
9gucmn8b,\$2500,,2500 \$
e6zz47fb,"Madrid, España",,"Madrid, Espagne"
tavu2vfl,4 habitaciones,,4 chambres
889s0vgc,Wifi,,Wifi
vba44ch3,Garage,,Garage
057inss0,Populares,,Populaires
21688ju3,"4,5",,"4,5"
33piryco,Plaza Sol,,Plaza Sol
oe5icipm,"Santo Domingo, Ecuador",,"Saint-Domingue, Équateur"
dp6zd82i,\$980,,980 \$
4xfc3juc,2 Habitaciones,,2 chambres
z92k0p7b,Wifi,,Wifi
hd2wr8fw,Garage,,Garage
kr5vog5r,"4,5",,"4,5"
fcgmremm,San Francisco,,San Francisco
ln9d8vuk,"Roma, Italia",,"Rome, Italie"
mb0qfq2y,\$1150,,1150 \$
nrv8zozk,2 Habitaciones,,2 chambres
to2hg78d,Wifi,,Wifi
3jexteyt,Garage,,Garage
8twkr8ag,"4,5",,"4,5"
1y4lvmc7,Percia,,Percie
ltr13c9i,"El Carmen, Ecuador",,"El Carmen, Équateur"
0gm65hej,\$3450,,3450 \$
o8k77cuh,2 Habitaciones,,2 chambres
vu78p8n7,Wifi,,Wifi
u2xfqor0,Garage,,Garage
tut4nbx3,Home,,Maison
uapkcxcd,Pear House,,Maison de la poire
m5q9wwcw,\$1150,,1150 \$
owcbsy9y,"Solo, Central Java",,"Solo, Java central"
ettw0t8k,2 habitaciones,,2 chambres
fknohpxt,Wifi,,Wifi
eadfxe29,Garage,,Garage
3otyc53b,Descripcion,,Description
vuy17juk,Minimalist and clean house with modern interior in the Central of Java. Take a virtual tour and discover it from the inside ,,"Maison minimaliste et épurée, à l\"
mqnfuxke,Galería,,Galerie
bu9ge757,Book Now,,Réservez maintenant
y3crb847,Home,,Maison
o8f6wgli,Language,,
v7qy57tb,Search...,,
8e7j1xay,English,,
dmlp8vef,Francais,,
60647jhj,Sango,,
bbj815my,Next,,
hp2qbrxp,Home,,Maison
fszywf63,Hello World,,
n24mpyvp,Hello World,,
x1slm02k,Home,,Maison
8vx8iska,,,
ro1o0ulg,,,
qllf2n7n,,,
ti171il6,,,
630nsfoj,,,
o2al05gk,,,
op1f0ks2,,,
s9436r6n,,,
kqacd125,,,
amtpaydt,,,
tgn7nuy2,,,
6b2mla7p,,,
zkrk5kff,,,
pord5omr,,,
z4j5tvoh,,,
vu5j9wck,,,
6yhys501,,,
sy2es2m0,,,
l9meizac,,,
4lj81r9s,,,
yorelsux,,,
djt1ou06,,,
8nzb7ee5,,,
4hdiebdu,,,
s3ni109m,,,
